#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#Bohemia;;;;;;;;;;;;;;
c_opava_adj;Opavan;Opavan;Opavan;;Opavan;;;;;;;;;x
c_zatec_adj;Zatecan;Zatecan;Zatecan;;Zatecan;;;;;;;;;x
#Baltics;;;;;;;;;;;;;;
c_szvuine_adj;Szvuine;Szvuine;Szvuine;;Szvuine;;;;;;;;;x
c_deltuva_adj;Deltuvian;Deltuvian;Deltuvian;;Deltuvian;;;;;;;;;x
c_jeriska_adj;Jeriskaian;Jeriskaian;Jeriskaian;;Jeriskaian;;;;;;;;;x
c_toreida;Torieda;Torieda;Torieda;;Torieda;;;;;;;;;x
c_kolberg_adj;Kolobrzeg;Kolobrzeg;Kolobrzeg;;Kolobrzeg;;;;;;;;;x
c_zemgalians_adj;Zemgalian;Zemgalian;Zemgalian;;Zemgalian;;;;;;;;;x
c_jarva_adj;Järvian;Järvian;Järvian;;Järvian;;;;;;;;;x
c_selija_adj;Selijan;Selijan;Selijan;;Selijan;;;;;;;;;x
c_metsepole_adj;Metsepolian;Metsepolian;Metsepolian;;Metsepolian;;;;;;;;;x
c_laanemaa_adj;Laanemaaian;Laanemaaian;Laanemaaian;;Laanemaaian;;;;;;;;;x
c_atzele_adj;Atzeleian;Atzeleian;Atzeleian;;Atzeleian;;;;;;;;;x
c_trakai_adj;Trakaian;Trakaian;Trakaian;;Trakaian;;;;;;;;;x
c_lida_adj;Lyda;Lyda;Lyda;;Lyda;;;;;;;;;x
c_sudovia_adj;Sudovia;Sudovia;Sudovia;;Sudovia;;;;;;;;;x
c_yatvyagi_adj;Dainava;Dainava;Dainava;;Dainava;;;;;;;;;x
c_asmena_adj;Ašmena;Ašmena;Ašmena;;Ašmena;;;;;;;;;x
c_upyte_adj;Upytian;Upytian;Upytian;;Upytian;;;;;;;;;x
c_nalshia_adj;Nalsian;Nalsian;Nalsian;;Nalsian;;;;;;;;;x
c_bandava;Bandava;Bandava;Bandava;;Bandava;;;;;;;;;x
c_duvzare;Duvzare;Duvzare;Duvzare;;Duvzare;;;;;;;;;x
c_vaiga;Vaiga;Vaiga;Vaiga;;Vaiga;;;;;;;;;x
#Hungary;;;;;;;;;;;;;;
c_csanad_adj;Csanádian;Csanádian;Csanádian;;Csanádian;;;;;;;;;x
c_krasso_adj;Krassóian;Krassóian;Krassóian;;Krassóian;;;;;;;;;x
c_bars_adj;Barsian;Barsian;Barsian;;Barsian;;;;;;;;;x
c_komarom_adj;Komaromian;Komaromian;Komaromian;;Komaromian;;;;;;;;;x
c_bekes_adj;Békésian;Békésian;Békésian;;Békésian;;;;;;;;;x
c_zemplen_adj;Zemplénian;Zemplénian;Zemplénian;;Zemplénian;;;;;;;;;x
c_szepes_adj;Szepesian;Szepesian;Szepesian;;Szepesian;;;;;;;;;x
c_hont_adj;Hontian;Hontian;Hontian;;Hontian;;;;;;;;;x
c_pecs_adj;Bodrogvárian;Bodrogvárian;Bodrogvárian;;Bodrogvárian;;;;;;;;;x
c_fejer_adj;Fejérian;Fejérian;Fejérian;;Fejérian;;;;;;;;;x
c_esztergom_adj;Visegrádian;Visegrádian;Visegrádian;;Visegrádian;;;;;;;;;x
c_pressburg_adj;Pozsonyian;Pozsonyian;Pozsonyian;;Pozsonyian;;;;;;;;;x
c_bacs_adj;Csongrádian;Csongrádian;Csongrádian;;Csongrádian;;;;;;;;;x
c_nitra_adj;Nyitravárian;Nyitravárian;Nyitravárian;;Nyitravárian;;;;;;;;;x
c_feher_adj;Fehérian;Fehérian;Fehérian;;Fehérian;;;;;;;;;x
c_szekelyfold_adj;Dobokaian;Dobokaian;Dobokaian;;Dobokaian;;;;;;;;;x
c_bihar_adj;Biharian;Biharian;Biharian;;Biharian;;;;;;;;;x
c_zarand_adj;Zarándian;Zarándian;Zarándian;;Zarándian;;;;;;;;;x
c_pest_adj;Újvárian;Újvárian;Újvárian;;Újvárian;;;;;;;;;x
c_marmaros_adj;Veszprémian;Veszprémian;Veszprémian;;Veszprémian;;;;;;;;;x
c_saris_adj;Borsodian;Borsodian;Borsodian;;Borsodian;;;;;;;;;x
c_bereg_adj;Somogyian;Somogyian;Somogyian;;Somogyian;;;;;;;;;x
c_gemer_adj;Gyõrian;Gyõrian;Gyõrian;;Gyõrian;;;;;;;;;x
c_trencin_adj;Barsian;Barsian;Barsian;;Barsian;;;;;;;;;x
