#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_trub;Trub;Trub;Trub;;Trub;;;;;;;;;x
b_kleinlutzel;Kleinlützel;Kleinlützel;Kleinlützel;;Kleinlützel;;;;;;;;;x
b_arlesheim;Arlesheim;Arlesheim;Arlesheim;;Arlesheim;;;;;;;;;x
b_tuaida;Tuaida;Tuaida;Tuaida;;Tuaida;;;;;;;;;x
b_raothenburg;Rothenburg;Rothenburg;Rothenburg;;Rothenburg;;;;;;;;;x
b_oricourt;Oricourt;Oricourt;Oricourt;;Oricourt;;;;;;;;;x
b_fondremand;Fondremand;Fondremand;Fondremand;;Fondremand;;;;;;;;;x
b_veselastraza;Veselastraza;Veselastraza;Veselastraza;;Veselastraza;;;;;;;;;x
b_nasborg;Nâsborg;Nâsborg;Nâsborg;;Nâsborg;;;;;;;;;x
b_schenfeldt;Schenfeldt;Schenfeldt;Schenfeldt;;Schenfeldt;;;;;;;;;x
b_meldorf;Meldorf;Meldorf;Meldorf;;Meldorf;;;;;;;;;x
b_esesfeldt;Esefelth;Esefelth;Esefelth;;Esefelth;;;;;;;;;x
b_dubica;Dubica;Dubica;Dubica;;Dubica;;;;;;;;;x
b_sankimost;Sanki Most;Sanki Most;Sanki Most;;Sanki Most;;;;;;;;;x
b_gradiska;Gradiska;Gradiska;Gradiska;;Gradiska;;;;;;;;;x
b_bentheim;Bentheim;Bentheim;Bentheim;;Bentheim;;;;;;;;;x
b_nordhorn;Nordhorn;Nordhorn;Nordhorn;;Nordhorn;;;;;;;;;x
b_emilcheim;Emilcheim;Emilcheim;Emilcheim;;Emilcheim;;;;;;;;;x
b_mosbach;Mosbach;Mosbach;Mosbach;;Mosbach;;;;;;;;;x
b_moers;Möers;Möers;Möers;;Möers;;;;;;;;;x
b_krinvelde;Krinvelde;Krinvelde;Krinvelde;;Krinvelde;;;;;;;;;x
b_duisburg;Duisburg;Duisburg;Duisburg;;Duisburg;;;;;;;;;x
b_siegen;Siegen;Siegen;Siegen;;Siegen;;;;;;;;;x
b_olpe;Olpe;Olpe;Olpe;;Olpe;;;;;;;;;x
b_ermingardibruggern;Ermingardibrüggern;Ermingardibrüggern;Ermingardibrüggern;;Ermingardibrüggern;;;;;;;;;x
b_lebno;Lêbno;Lêbno;Lêbno;;Lêbno;;;;;;;;;x
b_prenzlau;Prenzlau;Prenzlau;Prenzlau;;Prenzlau;;;;;;;;;x
b_debno;Debno;Debno;Debno;;Debno;;;;;;;;;x
b_badorb;Bad Orb;Bad Orb;Bad Orb;;Bad Orb;;;;;;;;;x
b_alsfeld;Alsfeld;Alsfeld;Alsfeld;;Alsfeld;;;;;;;;;x
b_offenbach;Offenbach;Offenbach;Offenbach;;Offenbach;;;;;;;;;x
b_blankenheim;Blankenheim;Blankenheim;Blankenheim;;Blankenheim;;;;;;;;;x
b_prum;Prüm;Prüm;Prüm;;Prüm;;;;;;;;;x
b_mechernich;Mechernich;Mechernich;Mechernich;;Mechernich;;;;;;;;;x
b_bailen;Bailén;Bailén;Bailén;;Bailén;;;;;;;;;x
b_anauyar;Anauyar;Anauyar;Anauyar;;Anauyar;;;;;;;;;x
b_martos;Martos;Martos;Martos;;Martos;;;;;;;;;x
b_jodan;Jódan;Jódan;Jódan;;Jódan;;;;;;;;;x
b_laval;Laval;Laval;Laval;;Laval;;;;;;;;;x
b_philadelphia;Philadelphia;Philadelphia;Philadelphia;;Philadelphia;;;;;;;;;x
b_ravno;Ravno;Ravno;Ravno;;Ravno;;;;;;;;;x
b_jekablis;Jekablis;Jekablis;Jekablis;;Jekablis;;;;;;;;;x
b_lodz;Lôdz;Lôdz;Lôdz;;Lôdz;;;;;;;;;x
