#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;
########################################;;;;;;;;;;;;;;
#Norwegian;;;;;;;;;;;;;;
########################################;;;;;;;;;;;;;;
PROV271;Vestfold;Vestfold;Vestfold;;Vestfold;;;;;;;;;x
PROV272;Vingulmörk;Vingulmörk;Vingulmörk;;Vingulmörk;;;;;;;;;x
PROV296;Ránríki;Ránríki;Ránríki;;Ránríki;;;;;;;;;x
PROV270;Þelamørk;Þelamørk;Þelamørk;;Þelamørk;;;;;;;;;x
PROV268;Egðafylki;Egðafylki;Egðafylki;;Egðafylki;;;;;;;;;x
PROV274;Horðaland;Horðaland;Horðaland;;Horðaland;;;;;;;;;x
PROV269;Rygjafylki;Rygjafylki;Rygjafylki;;Rygjafylki;;;;;;;;;x
PROV391;Norðmœri;Norðmœri;Norðmœri;;Norðmœri;;;;;;;;;x
PROV275;Strindafylki;Strindafylki;Strindafylki;;Strindafylki;;;;;;;;;x
PROV278;Hálogaland;Hálogaland;Hálogaland;;Hálogaland;;;;;;;;;x
PROV277;Naumdœlfylki;Naumdœlfylki;Naumdœlfylki;;Naumdœlfylki;;;;;;;;;x
PROV389;Finnmörk;Finnmörk;Finnmörk;;Finnmörk;;;;;;;;;x
PROV276;Heiðmørk;Heiðmørk;Heiðmørk;;Heiðmørk;;;;;;;;;x
PROV282;Jamtaland;Jamtaland;Jamtaland;;Jamtaland;;;;;;;;;x
PROV284;Herjárdalr;Herjárdalr;Herjárdalr;;Herjárdalr;;;;;;;;;x
PROV273;Hringaríki;Hringaríki;Hringaríki;;Hringaríki;;;;;;;;;x
########################################;;;;;;;;;;;;;;
#Danish;;;;;;;;;;;;;;
########################################;;;;;;;;;;;;;;
PROV264;Sliesvík;Sliesvík;Sliesvík;;Sliesvík;;;;;;;;;x
PROV265;Fyun;Fyun;Fyun;;Fyun;;;;;;;;;x
PROV266;Østær Syäland;Østær Syäland;Østær Syäland;;Østær Syäland;;;;;;;;;x
PROV267;Ábúsýsl;Ábúsýsl;Ábúsýsl;;Ábúsýsl;;;;;;;;;x
PROV305;Burghændæholm;Burghændæholm;Burghændæholm;;Burghændæholm;;;;;;;;;x
PROV303;Væstær Skaane;Væstær Skaane;Væstær Skaane;;Væstær Skaane;;;;;;;;;x
PROV6;Blekyng;Blekyng;Blekyng;;Blekyng;;;;;;;;;x
########################################;;;;;;;;;;;;;;
#Swedish;;;;;;;;;;;;;;
########################################;;;;;;;;;;;;;;
PROV298;Njudung;Njudung;Njudung;;Njudung;;;;;;;;;x
PROV294;Nerike;Nerike;Nerike;;Nerike;;;;;;;;;x
PROV297;Lödöse;Lödöse;Lödöse;;Lödöse;;;;;;;;;x
PROV288;Värmilland;Värmilland;Värmilland;;Värmilland;;;;;;;;;x
PROV285;Alir;Alir;Alir;;Alir;;;;;;;;;x
